Date,Open,High,Low,Close,Volume,Adj Close
9/28/2016,7991.319824,8024.209961,7953.009766,8004.939941,155900,8004.939941
9/27/2016,7915.850098,8034.419922,7866.140137,7981.089844,3437770000,7981.089844
9/26/2016,7911.77002,7939.819824,7879.609863,7914.689941,166200,7914.689941
9/23/2016,7948.5,7956.240234,7923.490234,7936.990234,131700,7936.990234
9/22/2016,7951.299805,8018.640137,7950.169922,7963.120117,149800,7963.120117
9/21/2016,7808.160156,7961.75,7808.160156,7931.319824,3712090000,7931.319824
9/20/2016,7816.069824,7851.189941,7793.109863,7793.22998,129300,7793.22998
9/19/2016,7794.330078,7846.649902,7777.060059,7792.379883,145700,7792.379883
9/16/2016,7802.97998,7802.97998,7747.790039,7770.330078,440900,7770.330078
9/15/2016,7752.790039,7819.850098,7712.129883,7800.359863,155000,7800.359863
9/14/2016,7768.140137,7802.220215,7732.560059,7755.399902,154000,7755.399902
9/13/2016,7898.919922,7899.160156,7753.879883,7771.910156,194900,7771.910156
9/12/2016,7786.589844,7956.330078,7756.990234,7925.899902,181800,7925.899902
9/9/2016,8025.189941,8038.040039,7822.410156,7822.589844,182900,7822.589844
9/8/2016,8049.620117,8083.299805,8038.069824,8076.600098,133400,8076.600098
9/7/2016,7962.200195,8070.140137,7960.439941,8057.600098,190400,8057.600098
9/6/2016,7948.189941,7954.470215,7904.25,7952.399902,140300,7952.399902
9/2/2016,7925.720215,7995.890137,7925.720215,7946.790039,117000,7946.790039
9/1/2016,7896.299805,7945.089844,7849.330078,7917.560059,127000,7917.560059
8/31/2016,7894.77002,7927.669922,7795.819824,7878.689941,3766390000,7878.689941
8/30/2016,7862.859863,7926.47998,7862.859863,7910.120117,169600,7910.120117
8/29/2016,7830.689941,7877.200195,7825.450195,7860.299805,103100,7860.299805
8/26/2016,7876.009766,7929.859863,7796.129883,7824.540039,3342340000,7824.540039
8/25/2016,7902.390137,7909.149902,7860.660156,7868.029785,97400,7868.029785
8/24/2016,7919.5,7949.169922,7901.899902,7918.649902,116600,7918.649902
8/23/2016,7923.77002,7951.419922,7922.220215,7923.399902,107500,7923.399902
8/22/2016,7914.209961,7914.390137,7871.259766,7894.77002,122000,7894.77002
8/19/2016,7905.069824,7943.200195,7883.75,7930.350098,155000,7930.350098
8/18/2016,7879.120117,7922.060059,7871.990234,7922.060059,131400,7922.060059
8/17/2016,7851.830078,7904,7807.120117,7882.470215,3388910000,7882.470215
8/16/2016,7836.970215,7864.069824,7824.109863,7850.790039,124900,7850.790039
8/15/2016,7820.399902,7915.299805,7804.810059,7852.560059,123600,7852.560059
8/12/2016,7833.859863,7833.859863,7791.589844,7807.180176,114000,7807.180176
8/11/2016,7803.890137,7871.290039,7803.890137,7846.649902,125200,7846.649902
8/10/2016,7835.569824,7843.240234,7791.529785,7802.919922,115000,7802.919922
8/9/2016,7878.330078,7895.569824,7830.049805,7836.779785,111800,7836.779785
8/8/2016,7870.22998,7937.109863,7860.450195,7869.310059,147300,7869.310059
8/5/2016,7753.490234,7869.129883,7753.490234,7866.569824,194300,7866.569824
8/4/2016,7705.939941,7727.930176,7667.319824,7720.009766,134800,7720.009766
8/3/2016,7659.589844,7719.799805,7656.240234,7711.359863,160900,7711.359863
8/2/2016,7789.759766,7792.709961,7622.919922,7648.439941,214700,7648.439941
8/1/2016,7843.669922,7861.209961,7794.689941,7815.649902,139500,7815.649902
7/29/2016,7848.970215,7881.649902,7807.72998,7846.410156,196900,7846.410156
7/28/2016,7849.330078,7879.209961,7779.160156,7864.129883,138500,7864.129883
7/27/2016,7980.109863,7980.109863,7831.180176,7861.450195,185600,7861.450195
7/26/2016,7903.359863,7980.870117,7899.589844,7980.299805,191200,7980.299805
7/25/2016,7969.089844,7969.089844,7886.399902,7892.950195,146800,7892.950195
7/22/2016,7875.589844,7972.529785,7861.359863,7965.97998,179600,7965.97998
7/21/2016,7926.569824,7926.569824,7842.02002,7858.589844,243100,7858.589844
7/20/2016,7972.379883,8021.959961,7945.27002,7962.330078,166400,7962.330078
7/19/2016,7956.049805,7979.720215,7914.569824,7961.470215,139900,7961.470215
7/18/2016,7973.899902,7996.439941,7928.640137,7972.859863,141800,7972.859863
7/15/2016,8018.370117,8018.609863,7969.819824,7985.169922,211400,7985.169922
7/14/2016,7959.040039,8048.089844,7959.040039,8015.930176,231600,8015.930176
7/13/2016,7896.540039,7952.490234,7841.140137,7930.709961,246500,7930.709961
7/12/2016,7738.839844,7891,7738.839844,7879.060059,228700,7879.060059
7/11/2016,7705.819824,7752.540039,7687.819824,7711.910156,173000,7711.910156
7/8/2016,7542.569824,7707.470215,7542.569824,7683.279785,200400,7683.279785
7/7/2016,7460.77002,7550.299805,7458.390137,7492.560059,147200,7492.560059
7/6/2016,7432.259766,7462.839844,7328.859863,7458.029785,208000,7458.029785
7/5/2016,7532.830078,7532.830078,7402.169922,7462.049805,180500,7462.049805
7/1/2016,7505.109863,7587.649902,7500.47998,7557.620117,165900,7557.620117
6/30/2016,7416.850098,7485.129883,7341.930176,7485.129883,238400,7485.129883
6/29/2016,7278.029785,7440.700195,7278.029785,7412.950195,211100,7412.950195
6/28/2016,7143.290039,7253.419922,7143.290039,7252.629883,247300,7252.629883
6/27/2016,7267.490234,7267.490234,7029.410156,7093.399902,321100,7093.399902
6/24/2016,7652.279785,7652.279785,7293.870117,7320.549805,498100,7320.549805
6/23/2016,7641.129883,7696.810059,7624.140137,7671.529785,171400,7671.529785
6/22/2016,7635.279785,7644.72998,7589.660156,7600.200195,153300,7600.200195
6/21/2016,7651.430176,7678.319824,7595.509766,7649.290039,182000,7649.290039
6/20/2016,7636.680176,7757.22998,7636.680176,7672.620117,168100,7672.620117
6/17/2016,7547.200195,7623.589844,7532.649902,7589.839844,334400,7589.839844
6/16/2016,7546.22998,7558.589844,7440.72998,7546.109863,203900,7546.109863
6/15/2016,7579.850098,7659.620117,7563.009766,7569.069824,178100,7569.069824
6/14/2016,7670.430176,7701.189941,7523.259766,7564.810059,195800,7564.810059
6/13/2016,7753.819824,7753.819824,7672.290039,7676.100098,164900,7676.100098
6/10/2016,7849.759766,7849.759766,7736.189941,7764.850098,146300,7764.850098
6/9/2016,7886.609863,7892.399902,7823.990234,7882.22998,146400,7882.22998
6/8/2016,7860.850098,7950.600098,7860.850098,7900.680176,178100,7900.680176
6/7/2016,7782.080078,7890.390137,7782.080078,7855.120117,190800,7855.120117
6/6/2016,7734.939941,7782.879883,7701.680176,7772.399902,176200,7772.399902
6/3/2016,7759.359863,7759.359863,7640.189941,7730.129883,180800,7730.129883
6/2/2016,7755.649902,7776.149902,7729.149902,7763.080078,134600,7763.080078
6/1/2016,7787.689941,7787.689941,7698.27002,7773.25,146400,7773.25
5/31/2016,7775.319824,7829.689941,7768.680176,7798.350098,240000,7798.350098
5/27/2016,7725.009766,7774.439941,7725.009766,7772.279785,133500,7772.279785
5/26/2016,7746.450195,7779.589844,7699.700195,7722.689941,134100,7722.689941
5/25/2016,7689.799805,7764.359863,7689.799805,7743.709961,132900,7743.709961
5/24/2016,7655.870117,7724.339844,7655.870117,7681.149902,150200,7681.149902
5/23/2016,7672.930176,7686.27002,7633.339844,7638.089844,141900,7638.089844
5/20/2016,7607.990234,7697.140137,7606.959961,7671.890137,177400,7671.890137
5/19/2016,7603.609863,7636.680176,7524.540039,7585.879883,158100,7585.879883
5/18/2016,7594.899902,7706.279785,7569.799805,7630.350098,161800,7630.350098
5/17/2016,7558.22998,7730.129883,7553.959961,7607.629883,222700,7607.629883
5/16/2016,7514.549805,7604.459961,7513.819824,7562.609863,188300,7562.609863
5/13/2016,7591,7634.890137,7469.970215,7507.310059,186500,7507.310059
5/12/2016,7720.560059,7753.669922,7574.189941,7600.200195,307300,7600.200195
5/11/2016,7828.680176,7846.899902,7710.390137,7710.450195,178200,7710.450195
5/10/2016,7753.029785,7838.950195,7753.029785,7831.970215,155200,7831.970215
5/9/2016,7734.450195,7775.259766,7720.5,7738.529785,183100,7738.529785
5/6/2016,7660.899902,7749.370117,7613.600098,7738.959961,217000,7738.959961
5/5/2016,7762.410156,7780.560059,7663.580078,7667.47998,190500,7667.47998
5/4/2016,7822.649902,7836.939941,7741.209961,7756.140137,220800,7756.140137
5/3/2016,7890.75,7890.75,7744.709961,7828.319824,199300,7828.319824
5/2/2016,7888.620117,7955.169922,7876.959961,7923.950195,176300,7923.950195
4/29/2016,7943.629883,7949.290039,7818.049805,7871.629883,276100,7871.629883
4/28/2016,8067.040039,8074.100098,7954.5,7966.040039,181000,7966.040039
4/27/2016,8055.890137,8111.290039,8022.540039,8091.339844,185700,8091.339844
4/26/2016,7993.149902,8086.350098,7993.149902,8081.470215,215000,8081.470215
4/25/2016,8075.629883,8090.490234,7946.580078,7990.350098,171600,7990.350098
4/22/2016,8013.189941,8100.899902,7997.200195,8085.97998,271500,8085.97998
4/21/2016,8103.459961,8103.459961,8000.339844,8010.939941,237600,8010.939941
4/20/2016,8105.899902,8149,8088.390137,8109.189941,146400,8109.189941
4/19/2016,8021.959961,8141.959961,8021.959961,8106.140137,149400,8106.140137
4/18/2016,7958.060059,8018.580078,7919.5,8002.649902,156800,8002.649902
4/15/2016,7982.919922,8019.77002,7950.209961,7978.22998,189100,7978.22998
4/14/2016,7973.470215,8025.97998,7948.439941,7980.779785,180300,7980.779785
4/13/2016,7784.700195,7968.299805,7784.700195,7960.740234,215400,7960.740234
4/12/2016,7713.370117,7787.930176,7690.080078,7758.689941,165000,7758.689941
4/11/2016,7746.209961,7840.100098,7698.970215,7699.490234,190100,7699.490234
4/8/2016,7668.72998,7819.359863,7668.72998,7736.279785,139100,7736.279785
4/7/2016,7721.899902,7724.430176,7623.890137,7652.830078,175100,7652.830078
4/6/2016,7773.5,7773.5,7655.930176,7753.879883,148200,7753.879883
4/5/2016,7795.490234,7818.600098,7758.509766,7772.459961,154400,7772.459961
4/4/2016,7890.689941,7929.740234,7808.220215,7816.990234,174900,7816.990234
4/1/2016,7924.990234,7924.990234,7792.009766,7887.77002,198600,7887.77002
3/31/2016,7959.100098,7968.660156,7914.629883,7944.109863,166300,7944.109863
3/30/2016,7967.629883,8034.02002,7957.359863,7965.189941,121300,7965.189941
3/29/2016,7858.169922,7956.47998,7799.870117,7951.609863,148800,7951.609863
3/28/2016,7933.819824,7938.330078,7811.540039,7858.709961,170200,7858.709961
3/24/2016,7933.580078,7933.580078,7848.569824,7926.02002,176900,7926.02002
3/23/2016,8009.169922,8009.200195,7931.080078,7956.779785,161500,7956.779785
3/22/2016,8048.759766,8048.759766,7980.240234,8011.669922,167700,8011.669922
3/21/2016,8073.069824,8114.27002,8033.779785,8075.379883,140100,8075.379883
3/18/2016,7960.129883,8091.950195,7950.450195,8075.689941,422300,8075.689941
3/17/2016,7730.129883,7973.75,7725.439941,7959.950195,164300,7959.950195
3/16/2016,7632.660156,7746.089844,7612.080078,7729.330078,132100,7729.330078
3/15/2016,7666.589844,7666.589844,7604.52002,7646.97998,140800,7646.97998
3/14/2016,7684.5,7712.430176,7651.490234,7690.410156,156300,7690.410156
3/11/2016,7542.939941,7695.950195,7542.939941,7693.089844,158300,7693.089844
3/10/2016,7532.649902,7596.27002,7426.839844,7518.089844,186000,7518.089844
3/9/2016,7481.660156,7543.850098,7478.799805,7528.439941,189000,7528.439941
3/8/2016,7664.77002,7664.77002,7469.359863,7478.370117,232400,7478.370117
3/7/2016,7640.339844,7693.149902,7575.350098,7686.02002,163000,7686.02002
3/4/2016,7605.009766,7726.5,7590.27002,7651.850098,195900,7651.850098
3/3/2016,7513.700195,7617.97998,7507.120117,7602.029785,193500,7602.029785
